EmpID,First,Last,Gender,Job,Country,NumCalls,Sales,Date
121033,Kristie,Snitzer,F,Sales Rep. III,US,76,29775,1/6/14
120123,Kimiko,Hotstone,F,Sales Rep. I,AU,11,26190,1/7/14
120147,Skev,Rusli,F,Sales Rep. II,AU,8,26580,1/9/14
121082,Richard,Debank,M,Sales Rep. III,US,16,28510,1/14/14
121084,Tulsidas,Ould,M,Sales Rep. I,US,19,22710,1/24/14
121071,John,Hoppmann,M,Sales Rep. III,US,16,28625,1/26/14
120143,Phu,Sloey,M,Sales Rep. II,AU,19,26790,1/30/14
121024,Michael,Westlund,M,Sales Rep. II,US,6,26600,1/31/14
120169,Cos,Tannous,M,Sales Rep. III,AU,6,28135,2/2/14
120145,Sandy,Aisbitt,M,Sales Rep. II,AU,2,26060,2/3/14
121066,Ceresh,Norman,F,Sales Rep. II,US,6,27250,2/4/14
120160,Chuck,Segrave,M,Sales Rep. I,AU,4,27115,2/11/14
121097,Willeta,Chernega,F,Sales Rep. II,US,27,26830,2/15/14
120153,Samantha,Waal,F,Sales Rep. I,AU,33,27260,2/18/14
121044,Ray,Abbott,M,Sales Rep. I,US,15,25660,2/20/14
121083,Tingmei,Sutton,F,Sales Rep. I,US,23,27245,2/21/14
121087,Virtina,O'Suilleabhain,F,Sales Rep. II,US,12,28325,2/22/14
121023,Shawn,Fuller,M,Sales Rep. I,US,17,26010,2/24/14
121028,William,Smades,M,Sales Rep. I,US,13,26585,2/25/14
120171,Alena,Moody,F,Sales Rep. II,AU,11,26205,3/4/14
121089,Gregory,Sauder,M,Sales Rep. II,US,16,28095,3/6/14
120168,Selina,Barcoe,F,Sales Rep. I,AU,18,25275,3/7/14
120146,Wendall,Cederlund,M,Sales Rep. I,AU,35,25985,3/11/14
120158,Daniel,Pilgrim,M,Sales Rep. III,AU,20,73210,3/20/14
121074,Eric,Michonski,M,Sales Rep. I,US,37,26990,3/22/14
121027,Allan,Rudder,M,Sales Rep. II,US,4,26165,3/24/14
120138,Shani,Duckett,F,Sales Rep. I,AU,24,25795,3/26/14
120137,Marina,Iyengar,F,Sales Rep. III,AU,8,29715,4/4/14
121088,Momolu,Kernitzki,M,Sales Rep. I,US,35,27240,4/8/14
121052,Richard,Fay,M,Sales Rep. II,US,8,26900,4/11/14
121055,Clement,Davis,M,Sales Rep. III,US,68,30185,4/12/14
121049,Perrior,Bataineh,F,Sales Rep. I,US,23,26930,4/13/14
121086,John-Michael,Plybon,M,Sales Rep. I,US,8,26820,4/15/14
121100,Tzue-Ing,Cormell,M,Sales Rep. II,US,30,28135,4/16/14
121137,Michael. R.,Boocks,M,Sales Rep. I,US,33,27055,4/17/14
121061,Lauris,Hassam,M,Sales Rep. III,US,86,29815,4/19/14
121081,Susie,Knudson,F,Sales Rep. III,US,86,30235,4/27/14
120154,Caterina,Hayawardhana,F,Sales Rep. III,AU,22,30490,5/2/14
120163,Brett,Magrath,M,Sales Rep. II,AU,13,26735,5/3/14
121032,Nasim,Smith,M,Sales Rep. IV,US,22,62670,5/4/14
121021,Priscilla,Farren,F,Sales Rep. IV,US,38,65970,5/5/14
120165,Tadashi,Pretorius,M,Sales Rep. I,AU,21,27050,5/6/14
121143,Louis,Favaron,M,Senior Sales Manager,US,89,190180,5/8/14
121050,Patricia,Capristo-Abramczyk,F,Sales Rep. II,US,34,26080,5/13/14
120140,Michael,Minas,M,Sales Rep. I,AU,6,26970,5/16/14
120148,Michael,Zubak,M,Sales Rep. III,AU,48,28480,5/24/14
121144,Renee,Capachietti,F,Sales Manager,US,112,167010,5/25/14
